City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Torbay,CA,47.6666,-52.7314,81.37,78,40,3.44,light rain
1,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,62,0,3.44,clear sky
2,Cape Town,ZA,-33.9258,18.4232,62.11,66,0,1.01,clear sky
3,Rikitea,PF,-23.1203,-134.9692,74.48,75,1,13.38,clear sky
4,Jamestown,US,42.097,-79.2353,72.3,65,1,3.0,clear sky
5,Hobart,AU,-42.8794,147.3294,43.27,86,90,4.0,overcast clouds
6,Kieta,PG,-6.2167,155.6333,78.24,85,82,4.12,light rain
7,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,100,20,4.47,few clouds
8,East London,ZA,-33.0153,27.9116,61.74,82,0,10.36,clear sky
9,Esperance,AU,-33.8667,121.9,49.84,87,0,8.08,clear sky
10,Great Bend,US,38.3645,-98.7648,78.4,94,75,9.22,broken clouds
11,Kruisfontein,ZA,-34.0033,24.7314,58.89,76,0,6.22,clear sky
12,Hirara,JP,24.8,125.2833,82.89,80,0,11.21,clear sky
13,Moyale,KE,3.5167,39.0584,74.28,44,97,10.85,overcast clouds
14,Rocha,UY,-34.4833,-54.3333,64.51,70,65,3.2,broken clouds
15,Luderitz,NA,-26.6481,15.1594,57.52,73,0,6.87,clear sky
16,Plettenberg Bay,ZA,-34.0527,23.3716,57.72,82,0,5.95,clear sky
17,Port Alfred,ZA,-33.5906,26.891,61.18,79,0,10.47,clear sky
18,Nakamura,JP,32.9833,132.9333,75.0,97,100,2.13,light rain
19,Castro,BR,-24.7911,-50.0119,70.09,59,82,5.86,broken clouds
20,Bluff,NZ,-46.6,168.3333,49.8,73,100,19.3,overcast clouds
21,Hilo,US,19.7297,-155.09,72.63,88,1,5.75,clear sky
22,Ponta Do Sol,PT,32.6667,-17.1,88.43,53,54,6.58,broken clouds
23,Port Hardy,CA,50.6996,-127.4199,62.78,100,90,5.75,overcast clouds
24,Busselton,AU,-33.65,115.3333,50.09,83,0,9.62,clear sky
25,Goderich,CA,43.7501,-81.7165,72.91,46,4,3.44,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,60.12,67,6,5.75,clear sky
27,Yellowknife,CA,62.456,-114.3525,59.52,82,75,10.36,broken clouds
28,Mehamn,NO,71.0357,27.8492,44.78,80,100,13.98,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,47.86,66,40,8.05,scattered clouds
30,Qaanaaq,GL,77.484,-69.3632,38.44,99,100,6.87,light rain
31,Leningradskiy,RU,69.3833,178.4167,32.58,96,100,13.15,overcast clouds
32,Tarko-Sale,RU,64.9225,77.785,58.46,69,99,20.27,overcast clouds
33,Mlandizi,TZ,-6.7,38.7333,74.3,73,46,7.61,scattered clouds
34,Albany,US,42.6001,-73.9662,76.14,54,78,4.99,broken clouds
35,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,73,1,13.8,clear sky
36,Usinsk,RU,65.9939,57.5281,55.85,67,59,10.71,broken clouds
37,Lebu,CL,-37.6167,-73.65,50.27,89,100,24.56,light rain
38,Kapaa,US,22.0752,-159.319,79.12,75,1,18.41,clear sky
39,Arrifes,PT,37.7667,-25.7,75.45,78,20,8.05,few clouds
40,Carnarvon,AU,-24.8667,113.6333,57.27,57,65,6.91,broken clouds
41,Chokurdakh,RU,70.6333,147.9167,40.06,81,100,8.34,overcast clouds
42,Vardo,NO,70.3705,31.1107,48.4,76,75,14.97,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,42.91,93,75,10.36,broken clouds
44,Yulara,AU,-25.2406,130.9889,62.44,29,4,12.66,clear sky
45,Pringsewu,ID,-5.3582,104.9744,73.06,96,57,0.72,broken clouds
46,Morgan City,US,29.6994,-91.2068,91.0,66,40,5.75,scattered clouds
47,Nikolskoye,RU,59.7035,30.7861,66.09,62,99,7.56,overcast clouds
48,Turtas,RU,58.9417,69.1325,61.14,76,41,4.79,scattered clouds
49,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,40,4.61,scattered clouds
50,Winnemucca,US,40.973,-117.7357,77.05,23,1,0.0,haze
51,Santa Maria,BR,-29.6842,-53.8069,67.3,68,75,3.44,broken clouds
52,Kupang,ID,-10.1667,123.5833,76.39,80,21,11.48,few clouds
53,Tchaourou,BJ,8.8865,2.5975,77.34,83,90,5.3,light rain
54,Pangnirtung,CA,66.1451,-65.7125,46.4,87,75,11.5,broken clouds
55,Fairbanks,US,64.8378,-147.7164,50.09,92,90,1.01,mist
56,Springfield,US,37.2153,-93.2982,82.53,56,1,4.0,clear sky
57,Dunedin,NZ,-45.8742,170.5036,50.81,51,37,8.99,scattered clouds
58,Soe,ID,-9.8607,124.284,63.91,92,35,5.32,scattered clouds
59,Barrow,US,71.2906,-156.7887,39.22,93,90,18.41,overcast clouds
60,Avarua,CK,-21.2078,-159.775,66.25,94,100,2.3,overcast clouds
61,Atuona,PF,-9.8,-139.0333,77.97,70,7,17.92,clear sky
62,Vaini,TO,-21.2,-175.2,66.36,82,20,9.22,few clouds
63,Nizwa,OM,22.9333,57.5333,99.16,24,67,6.2,broken clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,91,10.0,overcast clouds
65,Hithadhoo,MV,-0.6,73.0833,83.41,68,76,15.66,broken clouds
66,Gamba,GA,-2.65,10.0,76.48,79,68,9.44,broken clouds
67,Mataura,NZ,-46.1927,168.8643,49.48,89,69,5.17,broken clouds
68,Walvis Bay,NA,-22.9575,14.5053,59.95,77,23,5.75,few clouds
69,Bac Lieu,VN,9.285,105.7244,79.36,83,82,5.19,broken clouds
70,Liuzhou,CN,24.3126,109.3892,78.4,90,100,3.6,light rain
71,Whitehorse,CA,60.7161,-135.0538,44.02,93,90,3.44,light rain
72,Banda Aceh,ID,5.5577,95.3222,78.31,82,100,9.71,overcast clouds
73,Khatanga,RU,71.9667,102.5,57.87,48,100,11.27,overcast clouds
74,Vao,NC,-22.6667,167.4833,68.16,71,73,21.16,broken clouds
75,Faanui,PF,-16.4833,-151.75,78.51,74,9,10.85,clear sky
76,Provideniya,RU,64.3833,-173.3,50.31,79,100,2.26,light rain
77,Swan River,CA,52.1058,-101.2676,75.09,41,76,6.91,broken clouds
78,Jining,CN,35.405,116.5814,71.02,87,71,3.36,light rain
79,Kloulklubed,PW,7.0419,134.2556,77.5,74,24,10.22,few clouds
80,Havoysund,NO,70.9963,24.6622,45.48,80,100,11.52,overcast clouds
81,Butaritari,KI,3.0707,172.7902,82.42,73,11,10.47,few clouds
82,Nyurba,RU,63.2842,118.3319,52.05,94,98,4.21,overcast clouds
83,Ahipara,NZ,-35.1667,173.1667,46.81,79,6,2.15,clear sky
84,College,US,64.8569,-147.8028,49.59,92,75,6.91,light rain
85,New Norfolk,AU,-42.7826,147.0587,42.93,79,83,1.99,light rain
86,Maxixe,MZ,-23.8597,35.3472,66.02,77,75,0.0,broken clouds
87,Narsaq,GL,60.9167,-46.05,61.02,83,96,6.4,overcast clouds
88,Christchurch,NZ,-43.5333,172.6333,46.47,100,2,1.14,clear sky
89,Saldanha,ZA,-33.0117,17.9442,64.45,74,16,10.92,few clouds
90,Banihal,IN,33.4167,75.2,61.25,77,29,3.13,scattered clouds
91,Sur,OM,22.5667,59.5289,89.1,57,32,10.11,scattered clouds
92,Caronport,CA,50.4501,-105.8179,83.68,24,98,13.94,overcast clouds
93,Vilyuysk,RU,63.7553,121.6247,49.01,94,66,2.93,broken clouds
94,Gilbues,BR,-9.8317,-45.3439,94.57,14,11,7.7,few clouds
95,Tabas,IR,33.5959,56.9244,90.75,7,0,13.69,clear sky
96,Hermanus,ZA,-34.4187,19.2345,57.79,77,25,2.51,scattered clouds
97,Naze,JP,28.3667,129.4833,77.68,87,87,9.75,overcast clouds
98,Fortuna,US,40.5982,-124.1573,60.66,96,90,5.75,overcast clouds
99,Nanortalik,GL,60.1432,-45.2371,49.68,93,100,8.3,light rain
100,Dingle,PH,10.9995,122.6711,76.44,86,75,4.72,light rain
101,Labrea,BR,-7.2586,-64.7981,100.27,25,22,1.05,few clouds
102,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,40,11.5,scattered clouds
103,Cabedelo,BR,-6.9811,-34.8339,83.07,72,73,18.66,broken clouds
104,Hervey Bay,AU,-25.2986,152.8535,60.04,82,21,2.95,few clouds
105,Bassano,CA,50.7834,-112.4685,73.89,25,81,13.53,broken clouds
106,Labuhan,ID,-6.8844,112.2051,77.92,83,7,8.25,clear sky
107,Sakiai,LT,54.9547,23.0358,66.45,69,51,9.15,broken clouds
108,Saint-Philippe,RE,-21.3585,55.7679,67.59,71,66,12.39,broken clouds
109,Butte,US,39.6499,-121.5677,92.75,61,20,3.44,few clouds
110,Tezu,IN,27.9167,96.1667,77.4,91,99,2.8,overcast clouds
111,Senno,RU,59.5336,33.9167,58.93,87,96,10.6,moderate rain
112,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,90,10.36,overcast clouds
113,Roros,NO,62.5747,11.3842,49.84,81,75,10.36,broken clouds
114,Novikovo,RU,51.1537,37.8879,74.01,32,81,5.12,broken clouds
115,Severo-Kurilsk,RU,50.6789,156.125,53.58,92,17,11.7,few clouds
116,Aripuana,BR,-9.1667,-60.6333,100.22,21,7,2.44,clear sky
117,Beyneu,KZ,45.3167,55.2,84.99,16,0,11.34,clear sky
118,Portland,US,45.5234,-122.6762,82.62,65,40,1.01,scattered clouds
119,Ust-Koksa,RU,50.2696,85.6108,51.33,92,99,1.16,overcast clouds
120,Bhatkal,IN,13.9667,74.5667,77.77,84,99,5.06,overcast clouds
121,Wangqing,CN,43.3218,129.7634,55.81,96,98,2.24,overcast clouds
122,Kimbe,PG,-5.5502,150.1429,74.84,93,76,4.32,broken clouds
123,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,90,17.27,overcast clouds
124,Kodiak,US,57.79,-152.4072,47.71,76,1,0.0,clear sky
125,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,40,10.36,scattered clouds
126,Cabo San Lucas,MX,22.8909,-109.9124,94.51,55,20,11.5,few clouds
127,Evensk,RU,61.95,159.2333,47.07,83,34,3.69,scattered clouds
128,Coihaique,CL,-45.5752,-72.0662,41.61,87,90,0.0,overcast clouds
129,Lorengau,PG,-2.0226,147.2712,81.18,80,91,6.51,overcast clouds
130,Hamilton,US,39.1834,-84.5333,74.98,77,90,1.99,overcast clouds
131,San Patricio,US,28.017,-97.5169,91.29,47,34,6.35,scattered clouds
132,Arteaga,MX,18.4667,-102.4167,77.99,64,44,2.48,scattered clouds
133,Udachnyy,RU,66.4167,112.4,53.35,78,100,3.62,light rain
134,Hongjiang,CN,27.11,109.9956,71.74,99,94,1.74,overcast clouds
135,Megion,RU,61.0296,76.1136,60.82,68,56,9.53,broken clouds
136,Lonavale,IN,18.75,73.4167,71.64,90,79,3.44,broken clouds
137,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.9,68,79,13.82,broken clouds
138,Tres Arroyos,AR,-38.3739,-60.2798,62.91,38,62,13.11,broken clouds
139,Bairiki,KI,1.3292,172.9752,80.6,83,20,2.3,few clouds
140,Tiksi,RU,71.6872,128.8694,39.54,93,97,4.27,overcast clouds
141,Klaksvik,FO,62.2266,-6.589,50.92,73,99,14.07,overcast clouds
142,Tabuk,PH,17.4189,121.4443,73.72,91,87,2.04,overcast clouds
143,Barra Do Garcas,BR,-15.89,-52.2567,97.0,15,1,6.82,clear sky
144,Kwidzyn,PL,53.7249,18.9311,73.27,58,78,8.14,broken clouds
145,Amapa,BR,1.0,-52.0,92.19,45,64,2.15,moderate rain
146,Pontypool,GB,51.7011,-3.0444,67.28,84,100,10.2,overcast clouds
147,Samarinda,ID,-0.5,117.15,73.31,99,100,1.21,overcast clouds
148,Guerrero Negro,MX,27.9769,-114.0611,77.43,63,54,12.5,broken clouds
149,Port Elizabeth,ZA,-33.918,25.5701,61.11,77,0,12.66,clear sky
150,Umm Lajj,SA,25.0213,37.2685,89.53,59,7,7.83,clear sky
151,Vagur,FO,61.4732,-6.8119,49.75,72,99,12.46,overcast clouds
152,Olga,RU,43.7444,135.2892,54.55,94,12,3.18,few clouds
153,Upernavik,GL,72.7868,-56.1549,42.69,92,100,23.6,light rain
154,Yerbogachen,RU,61.2767,108.0108,58.95,90,84,10.27,broken clouds
155,Faya,SA,18.3851,42.4509,73.51,72,88,6.26,overcast clouds
156,Arinos,BR,-15.9169,-46.1056,91.38,18,1,4.52,clear sky
157,Gat,IL,31.61,34.7642,86.77,23,0,9.51,clear sky
158,Danjiangkou,CN,32.5428,111.5086,73.13,97,73,4.0,light rain
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,74,90,10.36,overcast clouds
160,Tasiilaq,GL,65.6145,-37.6368,51.96,68,87,11.7,overcast clouds
161,Dwarka,IN,22.2394,68.9678,81.59,79,100,16.2,overcast clouds
162,Gouyave,GD,12.1646,-61.7296,83.17,79,75,10.36,broken clouds
163,Tual,ID,-5.6667,132.75,80.11,83,100,18.21,overcast clouds
164,Haines Junction,CA,60.7522,-137.5108,48.15,87,100,6.91,light rain
165,Canico,PT,32.6333,-16.85,88.43,40,20,20.71,few clouds
166,Santiago Del Estero,AR,-27.7951,-64.2615,68.81,19,10,9.93,clear sky
167,Pevek,RU,69.7008,170.3133,33.03,100,100,6.2,snow
168,Vilaka,LV,57.1846,27.6722,62.42,74,64,10.18,broken clouds
169,Harper,LR,4.375,-7.7169,79.81,63,88,8.63,overcast clouds
170,Airai,TL,-8.9266,125.4092,57.6,90,63,3.71,broken clouds
171,Plaridel,PH,14.8872,120.8572,81.1,82,91,3.15,overcast clouds
172,Tuatapere,NZ,-46.1333,167.6833,49.82,77,92,7.25,overcast clouds
173,Launceston,AU,-41.45,147.1667,44.8,84,32,1.99,scattered clouds
174,Arzgir,RU,45.3728,44.2206,75.24,67,100,4.29,light rain
175,Lompoc,US,34.6391,-120.4579,65.88,93,90,3.44,mist
176,Skjervoy,NO,70.0311,20.9714,51.8,78,100,14.18,overcast clouds
177,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,18.41,broken clouds
178,Bandarbeyla,SO,9.4942,50.8122,83.77,57,33,28.72,scattered clouds
179,Katangli,RU,51.7102,143.2326,52.07,92,60,7.58,broken clouds
180,Nome,US,64.5011,-165.4064,48.27,93,90,6.91,overcast clouds
181,Muzaffarabad,PK,34.37,73.4711,69.13,82,3,6.64,clear sky
182,Goundi,TD,9.3627,17.366,77.23,87,93,2.33,overcast clouds
183,Isangel,VU,-19.55,169.2667,69.62,67,25,16.26,scattered clouds
184,Awbari,LY,26.5921,12.7805,92.34,16,0,8.37,clear sky
185,Cockburn Town,TC,21.4612,-71.1419,85.96,74,40,16.11,scattered clouds
186,Kuching,MY,1.55,110.3333,77.22,100,20,2.3,few clouds
187,Gizo,SB,-8.103,156.8419,81.34,79,66,8.63,light rain
188,Jibuti,DJ,11.5,42.5,89.02,26,45,5.7,scattered clouds
189,Ruston,US,32.5232,-92.6379,84.85,69,75,4.03,broken clouds
190,Shenjiamen,CN,29.9576,122.298,79.16,93,100,17.29,light rain
191,Qaqortoq,GL,60.7167,-46.0333,61.3,91,93,7.34,overcast clouds
192,Port Hedland,AU,-20.3167,118.5667,69.85,35,51,3.44,broken clouds
193,Saint-Pierre,RE,-21.3393,55.4781,67.68,72,20,11.5,few clouds
194,Victoria,HK,22.2855,114.1577,84.25,89,70,6.71,light rain
195,Wernigerode,DE,51.8333,10.7833,77.83,55,100,4.63,overcast clouds
196,Karratha,AU,-20.7377,116.8463,75.83,42,98,12.75,overcast clouds
197,Kingaroy,AU,-26.5333,151.8333,55.44,94,90,3.44,overcast clouds
198,Magaria,NE,12.9983,8.9099,87.42,52,94,4.03,light rain
199,Acapulco,MX,16.8634,-99.8901,87.62,66,40,4.61,scattered clouds
200,Mareeba,AU,-17.0,145.4333,63.48,90,38,2.53,scattered clouds
201,Itarema,BR,-2.9248,-39.9167,85.39,58,54,14.45,broken clouds
202,Oktyabrskoye,RU,43.0645,44.7417,69.94,88,90,4.47,overcast clouds
203,Maragogi,BR,-9.0122,-35.2225,77.65,70,78,13.33,broken clouds
204,Laguna,US,38.421,-121.4238,90.1,66,1,0.0,haze
205,Mogadishu,SO,2.0371,45.3438,76.46,83,24,17.52,light rain
206,San Quintin,MX,30.4833,-115.95,74.7,73,20,9.78,few clouds
207,Kemin,KG,42.7846,75.6892,56.01,78,92,2.75,overcast clouds
208,Roebourne,AU,-20.7833,117.1333,75.42,40,89,11.54,overcast clouds
209,Tobol,KZ,52.6844,62.5794,73.35,38,11,4.25,few clouds
210,Sonoma,US,38.55,-122.9011,92.5,29,5,2.46,clear sky
211,Boshnyakovo,RU,49.6333,142.1667,52.86,89,21,6.62,few clouds
212,Huarmey,PE,-10.0681,-78.1522,68.38,71,68,11.77,broken clouds
213,Kells,IE,53.7264,-6.8792,65.07,70,91,11.7,overcast clouds
214,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,2.3,few clouds
215,Broken Hill,AU,-31.95,141.4333,46.11,53,0,4.61,clear sky
216,Lamu,KE,-2.2717,40.902,77.22,84,2,17.05,clear sky
217,Asmara,ER,15.3333,38.9333,63.97,72,17,6.73,few clouds
218,Zaysan,KZ,47.4667,84.8667,61.74,56,61,5.77,broken clouds
219,Codrington,AU,-38.2667,141.9667,50.04,70,17,16.75,few clouds
220,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,82,47,10.69,scattered clouds
221,Verkhnyaya Inta,RU,65.9811,60.3094,51.33,76,4,8.34,clear sky
222,The Valley,AI,18.217,-63.0578,86.14,74,40,17.27,scattered clouds
223,Nouadhibou,MR,20.931,-17.0347,78.78,73,52,16.11,broken clouds
224,Ormara,PK,25.2088,64.6357,79.41,83,100,14.74,overcast clouds
225,Husavik,IS,66.0449,-17.3389,66.11,70,79,8.84,broken clouds
226,Norman Wells,CA,65.282,-126.8329,51.84,100,90,0.0,light rain
227,Oksfjord,NO,70.2396,22.3479,51.87,85,100,5.84,overcast clouds
228,Burns Lake,CA,54.2331,-125.7533,60.22,52,85,14.92,overcast clouds
229,La Ronge,CA,55.1001,-105.2842,73.62,46,20,6.91,few clouds
230,Boguchany,RU,58.3814,97.4531,59.0,73,93,3.22,overcast clouds
231,Touros,BR,-5.1989,-35.4608,85.1,63,48,21.18,scattered clouds
232,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,3.44,broken clouds
233,Acajutla,SV,13.5928,-89.8275,86.81,77,90,4.05,overcast clouds
234,Waingapu,ID,-9.6567,120.2641,76.21,86,7,11.68,clear sky
235,Oussouye,SN,12.485,-16.5469,86.18,84,100,5.97,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,43.41,83,81,0.87,broken clouds
237,Zhigansk,RU,66.7697,123.3711,49.55,62,90,6.53,overcast clouds
238,Raduzhnyy,RU,62.0961,77.475,63.16,63,82,8.72,broken clouds
239,Batemans Bay,AU,-35.7167,150.1833,56.19,42,0,11.25,clear sky
240,Kiama,AU,-34.6833,150.8667,58.44,46,0,15.12,clear sky
241,Chuy,UY,-33.6971,-53.4616,61.07,81,92,2.55,overcast clouds
242,Hobyo,SO,5.3505,48.5268,77.58,79,65,25.61,broken clouds
243,Ambulu,ID,-8.345,113.6058,73.63,90,18,3.89,few clouds
244,Calama,CL,-22.4667,-68.9333,68.49,14,0,3.44,clear sky
245,Georgetown,MY,5.4112,100.3354,78.89,91,40,0.0,scattered clouds
246,Kavieng,PG,-2.5744,150.7967,81.09,80,99,10.94,light rain
247,Praia,CV,14.9215,-23.5087,82.94,69,75,12.66,broken clouds
248,Tymovskoye,RU,50.8456,142.655,48.45,99,67,5.35,broken clouds
249,Katubao,PH,5.8892,124.8294,79.68,75,92,5.01,overcast clouds
250,Awjilah,LY,29.1081,21.2869,93.11,18,0,12.59,clear sky
251,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,9.22,overcast clouds
252,Muli,MV,2.9167,73.5667,82.78,70,23,15.48,few clouds
253,Muroto,JP,33.2833,134.15,77.95,79,100,5.48,overcast clouds
254,Ambilobe,MG,-13.2,49.05,73.0,70,53,2.51,broken clouds
255,Qasigiannguit,GL,68.8193,-51.1922,46.65,80,100,3.62,overcast clouds
256,Sibolga,ID,1.7427,98.7792,76.59,90,100,3.33,heavy intensity rain
257,Marsh Harbour,BS,26.5412,-77.0636,83.21,75,100,17.11,overcast clouds
258,Maldonado,UY,-34.6667,-54.9167,51.19,75,59,4.5,broken clouds
259,Leku,ET,6.8667,38.45,60.35,86,86,4.63,light rain
260,Ilheus,BR,-14.7889,-39.0494,80.42,74,20,8.05,few clouds
261,Ambon,ID,-3.6954,128.1814,78.73,84,92,7.43,overcast clouds
262,Ixtapa,MX,20.7,-105.2,84.22,78,1,2.3,clear sky
263,Ucluelet,CA,48.9329,-125.5528,59.31,80,82,3.09,broken clouds
264,Saurimo,AO,-9.6608,20.3916,79.45,20,2,1.52,clear sky
265,Ouallam,NE,14.3188,2.0866,93.99,38,63,5.46,broken clouds
266,Leeds,GB,53.7964,-1.5477,67.39,52,40,5.01,scattered clouds
267,Baruun-Urt,MN,46.6806,113.2792,58.24,83,15,7.47,few clouds
268,Westport,US,41.1415,-73.3579,82.76,53,1,1.01,clear sky
269,Dikson,RU,73.5069,80.5464,46.87,100,100,15.32,light rain
270,Quatre Cocos,MU,-20.2078,57.7625,66.31,58,96,15.28,overcast clouds
271,Atherton,GB,53.5237,-2.4935,66.15,76,86,8.01,overcast clouds
272,Sosnovo-Ozerskoye,RU,52.5249,111.5418,54.93,84,8,3.85,clear sky
273,Lodja,CD,-3.4833,23.4333,81.48,47,58,2.13,broken clouds
274,Killybegs,IE,54.6333,-8.45,58.71,77,85,16.02,overcast clouds
275,Saint George,US,37.1041,-113.5841,94.53,39,1,0.0,clear sky
276,Chapais,CA,49.7834,-74.8492,65.98,33,51,8.57,broken clouds
277,Bonavista,CA,48.6499,-53.1147,77.0,88,78,10.42,broken clouds
278,Hasaki,JP,35.7333,140.8333,68.4,85,100,14.43,overcast clouds
279,Ponta Delgada,PT,37.7333,-25.6667,77.72,78,20,8.05,few clouds
280,Barabai,ID,-2.5833,115.3833,73.58,96,100,1.95,overcast clouds
281,Samastipur,IN,25.85,85.7833,82.94,85,100,5.82,light rain
282,Sistranda,NO,63.7256,8.834,57.16,80,100,3.74,light rain
